Date,Close
2018-06-12,253.26206970214844
2018-06-13,252.45394897460938
2018-06-14,253.08956909179688
2018-06-15,252.76669311523438
2018-06-18,252.24679565429688
2018-06-19,251.280029296875
2018-06-20,251.70870971679688
2018-06-21,250.13082885742188
2018-06-22,250.58680725097656
2018-06-25,247.1756134033203
2018-06-26,247.72291564941406
2018-06-27,245.67063903808594
2018-06-28,247.0752716064453
2018-06-29,247.43101501464844
2018-07-02,247.95999145507812
2018-07-03,247.08432006835938
2018-07-05,249.10009765625
2018-07-06,251.20709228515625
2018-07-09,253.4690704345703
2018-07-10,254.38113403320312
2018-07-11,252.5204620361328
2018-07-12,254.809814453125
2018-07-13,255.01040649414062
2018-07-16,254.78240966796875
2018-07-17,255.81304931640625
2018-07-18,256.3512878417969
2018-07-19,255.38433837890625
2018-07-20,255.092529296875
2018-07-23,255.5667266845703
2018-07-24,256.8528137207031
2018-07-25,259.04180908203125
2018-07-26,258.43072509765625
2018-07-27,256.6795654296875
2018-07-30,255.33872985839844
2018-07-31,256.5974426269531
2018-08-01,256.1687316894531
2018-08-02,257.5643005371094
2018-08-03,258.6679382324219
2018-08-06,259.6164855957031
2018-08-07,260.47381591796875
2018-08-08,260.3644104003906
2018-08-09,260.0087585449219
2018-08-10,258.2664794921875
2018-08-13,257.2998046875
2018-08-14,258.94146728515625
2018-08-15,257.0079345703125
2018-08-16,259.08746337890625
2018-08-17,259.99951171875
2018-08-20,260.555908203125
2018-08-21,261.1669616699219
2018-08-22,261.0119934082031
2018-08-23,260.6653747558594
2018-08-24,262.23419189453125
2018-08-27,264.3045654296875
2018-08-28,264.4322509765625
2018-08-29,265.8551330566406
2018-08-30,264.7787780761719
2018-08-31,264.7879943847656
2018-09-04,264.3320007324219
2018-09-05,263.6204528808594
2018-09-06,262.8270263671875
2018-09-07,262.31622314453125
2018-09-10,262.77227783203125
2018-09-11,263.6387023925781
2018-09-12,263.70269775390625
2018-09-13,265.2622985839844
2018-09-14,265.30792236328125
2018-09-17,263.90325927734375
2018-09-18,265.3352355957031
2018-09-19,265.6180114746094
2018-09-20,267.7705383300781
2018-09-21,267.5257873535156
2018-09-24,266.6372375488281
2018-09-25,266.3898010253906
2018-09-26,265.5926818847656
2018-09-27,266.3348388671875
2018-09-28,266.3623046875
2018-10-01,267.2877197265625
2018-10-02,267.13189697265625
2018-10-03,267.2784423828125
2018-10-04,265.18951416015625
2018-10-05,263.7052917480469
2018-10-08,263.7052917480469
2018-10-09,263.32049560546875
2018-10-10,254.98291015625
2018-10-11,249.3665008544922
2018-10-12,252.82972717285156
2018-10-15,251.4096221923828
2018-10-16,256.90692138671875
2018-10-17,256.95281982421875
2018-10-18,253.24215698242188
2018-10-19,253.1046600341797
2018-10-22,251.96861267089844
2018-10-23,250.68582153320312
2018-10-24,243.09043884277344
2018-10-25,247.45164489746094
2018-10-26,243.0995635986328
2018-10-29,241.752685546875
2018-10-30,245.3351593017578
2018-10-31,247.95553588867188
2018-11-01,250.5941619873047
2018-11-02,249.10995483398438
2018-11-05,250.48431396484375
2018-11-06,252.0693359375
2018-11-07,257.46588134765625
2018-11-08,256.9985656738281
2018-11-09,254.48818969726562
2018-11-12,249.7330322265625
2018-11-13,249.2657012939453
2018-11-14,247.56155395507812
2018-11-15,250.1453094482422
2018-11-16,250.7957763671875
2018-11-19,246.55368041992188
2018-11-20,241.99095153808594
2018-11-21,242.8155517578125
2018-11-23,241.19384765625
2018-11-26,245.08778381347656
2018-11-27,245.91236877441406
2018-11-28,251.57460021972656
2018-11-29,251.02487182617188
2018-11-30,252.55491638183594
2018-12-03,255.89910888671875
2018-12-04,247.6073455810547
2018-12-06,247.231689453125
2018-12-07,241.48704528808594
2018-12-10,241.9451446533203
2018-12-11,242.00015258789062
2018-12-12,243.21871948242188
2018-12-13,243.13623046875
