175,"['AJG', 'GOOG']"
176,"['AJG', 'GOOGL']"
177,"['AJG', 'GRMN']"
178,"['AJG', 'IEX']"
179,"['AJG', 'ILMN']"
180,"['AJG', 'J']"
181,"['AJG', 'JBHT']"
182,"['AJG', 'KMX']"
183,"['AJG', 'LEN']"
184,"['AJG', 'MCK']"
185,"['AKAM', 'AMGN']"
186,"['AKAM', 'BALL']"
187,"['AKAM', 'CSGP']"
188,"['AKAM', 'DGX']"
189,"['AKAM', 'DLR']"
190,"['AKAM', 'ECL']"
191,"['AKAM', 'EW']"
192,"['AKAM', 'FIS']"
193,"['AKAM', 'FMC']"
194,"['AKAM', 'ICE']"
195,"['AKAM', 'JNJ']"
196,"['AKAM', 'LDOS']"
197,"['AKAM', 'LMT']"
198,"['AKAM', 'MMC']"
199,"['ALB', 'AXON']"
200,"['ALB', 'CAT']"
201,"['ALB', 'ELV']"
202,"['ALB', 'ILMN']"
203,"['ALB', 'LH']"
204,"['ALGN', 'BKNG']"
205,"['ALK', 'BDX']"
206,"['ALK', 'CMA']"
207,"['ALK', 'CVX']"
208,"['ALK', 'GD']"
209,"['ALK', 'HAS']"
210,"['ALL', 'ALLE']"
211,"['ALL', 'BDX']"
212,"['ALL', 'CBRE']"
213,"['ALL', 'CPT']"
214,"['ALL', 'FTNT']"
215,"['ALL', 'HLT']"
216,"['ALL', 'JCI']"
217,"['ALL', 'MDT']"
218,"['ALLE', 'AON']"
219,"['ALLE', 'BDX']"
220,"['ALLE', 'EW']"
221,"['ALLE', 'HLT']"
222,"['ALLE', 'LHX']"
223,"['AMAT', 'AVY']"
224,"['AMAT', 'AXON']"
225,"['AMAT', 'CAT']"
226,"['AMAT', 'COO']"
227,"['AMAT', 'EFX']"
228,"['AMAT', 'ELV']"
229,"['AMAT', 'HUBB']"
230,"['AMAT', 'ILMN']"
231,"['AMAT', 'IQV']"
232,"['AMAT', 'LH']"
233,"['AMAT', 'LLY']"
234,"['AMAT', 'MCK']"
235,"['AMCR', 'BDX']"
236,"['AMCR', 'BSX']"
237,"['AMCR', 'EVRG']"
238,"['AMCR', 'IBM']"
239,"['AMCR', 'LVS']"
240,"['AMD', 'AMGN']"
241,"['AMD', 'AWK']"
242,"['AMD', 'CDAY']"
243,"['AMD', 'CRM']"
244,"['AMD', 'CTLT']"
245,"['AMD', 'DVA']"
246,"['AMD', 'EA']"
247,"['AMD', 'MCK']"
248,"['AME', 'AON']"
249,"['AME', 'BR']"
250,"['AME', 'DHI']"
251,"['AME', 'DOV']"
252,"['AME', 'GOOGL']"
253,"['AME', 'J']"
254,"['AME', 'KMX']"
255,"['AME', 'LEN']"
256,"['AME', 'MCD']"
257,"['AME', 'MCK']"
258,"['AMGN', 'ARE']"
259,"['AMGN', 'AWK']"
260,"['AMGN', 'BBY']"
261,"['AMGN', 'CCI']"
262,"['AMGN', 'CDAY']"
263,"['AMGN', 'DLR']"
264,"['AMGN', 'DVA']"
265,"['AMGN', 'DXCM']"
266,"['AMGN', 'EA']"
267,"['AMGN', 'GPN']"
268,"['AMGN', 'MCK']"
269,"['AMP', 'AVY']"
270,"['AMP', 'AXON']"
271,"['AMP', 'CAT']"
272,"['AMP', 'COO']"
273,"['AMP', 'ELV']"
274,"['AMP', 'ILMN']"
275,"['AMP', 'IQV']"
276,"['AMP', 'ISRG']"
277,"['AMP', 'LH']"
278,"['AMP', 'LLY']"
279,"['AMT', 'EA']"
280,"['AMT', 'FDS']"
281,"['AMZN', 'CRM']"
